,categoryName,watchTimes1,categoryName,watchTime_min,categoryRatio,channelTitle,watchTimes2,channelLink,language,lanCounts
117,,,,,,Rihanna - Topic,23,https://www.youtube.com/channel/UCvWtix2TtWGe9kffqnwdaMw,,
118,,,,,,TST Prep TOEFL,23,https://www.youtube.com/channel/UCL0ZOT3eKp4RvKcQyBZJ4bw,,
119,,,,,,Sachet Tandon - Topic,23,https://www.youtube.com/channel/UCwVaZvqWinr1NWZopxGjRQQ,,
120,,,,,,thegraytergood,22,https://www.youtube.com/channel/UCgqx7RBTxVMyuRmmVtXdGBA,,
121,,,,,,Aisha Ba,22,https://www.youtube.com/channel/UCpLxBM2LNI9MUY4bxMNEWXA,,
122,,,,,,Slaybyjess,22,https://www.youtube.com/channel/UCsl2X3lIQuyxcq4ZAnFCX_A,,
123,,,,,,RJ Raghav,22,https://www.youtube.com/channel/UCTLVMgfgQ3omiUp97zgCOZg,,
124,,,,,,Richard Sales Official,21,https://www.youtube.com/channel/UCysVG_DvoO0Wm4Iw-I3KoXA,,
125,,,,,,푸드앤조이 FOOD n JOY,21,https://www.youtube.com/channel/UCdvmm_c87D7wLGPHaRrtz6g,,
126,,,,,,Swati Mishra - Topic,21,https://www.youtube.com/channel/UC1XjrUsBTIrau_qdIjpbbGA,,
127,,,,,,Baristahamburg,21,https://www.youtube.com/channel/UCLdIY8VhBDMEBGgY_k0MSWw,,
128,,,,,,승빈Seungbin,21,https://www.youtube.com/channel/UCOTO6JU7qJf5E-kFDam30VQ,,
129,,,,,,Style Me Pretty,21,https://www.youtube.com/channel/UCrbIAlrto1ZV5X_8kuhSmHQ,,
130,,,,,,Maxie Elise,21,https://www.youtube.com/channel/UCevBa48qjown1VY0Cs9BXyQ,,
131,,,,,,BeatsWithHarnidh,20,https://www.youtube.com/channel/UCcCzV7sKP-xj7xCYopQrgwg,,
132,,,,,,Nika Ritshel,20,https://www.youtube.com/channel/UCJON6IqtFBmH8N1tJaslbYg,,
133,,,,,,Wendyskin,20,https://www.youtube.com/channel/UCrmWkC3GFSG3Sx1KwoymtsQ,,
134,,,,,,Official People Of India,20,https://www.youtube.com/channel/UCLNFXq1zSK2p4u8drszPNkw,,
135,,,,,,Cakes By Marian,20,https://www.youtube.com/channel/UCrMZdg4rbH-tXYJGl4HdWuQ,,
136,,,,,,Blueberryedit,20,https://www.youtube.com/channel/UCM7KCOYgWEsxSIiS3oQ8itQ,,
137,,,,,,Somya Pikaa,20,https://www.youtube.com/channel/UCtyrDmjyTChU6EGjYYfjj0Q,,
138,,,,,,Ariana Grande - Topic,20,https://www.youtube.com/channel/UC0076UMUgEng8HORUw_MYHA,,
139,,,,,,Emily Askin,20,https://www.youtube.com/channel/UCgrPjre5JS5KG9VdM2PkhgA,,
140,,,,,,VYAS EDIFICATION,20,https://www.youtube.com/channel/UCbVus-Tz4pL8j7zPoQ--amA,,
141,,,,,,Zack D. Films,20,https://www.youtube.com/channel/UCvz84_Q0BbvZThy75mbd-Dg,,
142,,,,,,Entertainment Tonight,20,https://www.youtube.com/channel/UCdtXPiqI2cLorKaPrfpKc4g,,
143,,,,,,fritzdoesart,20,https://www.youtube.com/channel/UCFn2CWhGpkm7Y4D34-h4VSw,,
144,,,,,,Tyla - Topic,20,https://www.youtube.com/channel/UCnZBreGKMYsBpE5Vqxevewg,,
